-60,4.51E-09
-58,4.08E-09
-56,4.25E-09
-54,4.44E-09
-52,4.90E-09
-50,5.74E-09
-48,6.93E-09
-46,7.24E-09
-44,2.42E-08
-42,1.37E-08
-40,1.67E-08
-38,2.31E-08
-36,3.43E-08
-34,5.28E-08
-32,8.16E-08
-30,1.31E-07
-28,1.84E-07
-26,2.56E-07
-24,3.54E-07
-22,4.78E-07
-20,6.35E-07
-18,8.29E-07
-16,1.06E-06
-14,1.40E-06
-12,1.80E-06
-10,2.30E-06
-8,2.89E-06
-6,3.62E-06
-4,4.40E-06
-2,5.38E-06
0,6.42E-06
2,7.61E-06
4,8.90E-06
6,9.89E-06
8,1.14E-05
10,1.31E-05
12,1.47E-05
14,1.62E-05
16,1.75E-05
18,1.88E-05
20,2.00E-05
22,2.13E-05
24,2.22E-05
26,2.33E-05
28,2.41E-05
30,2.49E-05
32,2.57E-05
34,2.64E-05
36,2.72E-05
38,2.77E-05
40,2.84E-05
42,2.91E-05
44,2.97E-05
46,3.00E-05
48,3.03E-05
50,3.07E-05
52,3.09E-05
54,3.13E-05
56,3.18E-05
58,3.17E-05
60,3.16E-05
60,3.04E-05
58,2.70E-05
56,2.46E-05
54,2.27E-05
52,2.10E-05
50,1.96E-05
48,1.81E-05
46,1.69E-05
44,1.58E-05
42,1.48E-05
40,1.37E-05
38,1.28E-05
36,1.19E-05
34,1.10E-05
32,1.01E-05
30,9.16E-06
28,8.39E-06
26,7.65E-06
24,7.04E-06
22,6.46E-06
20,5.88E-06
18,5.35E-06
16,4.81E-06
14,4.35E-06
12,3.91E-06
10,3.49E-06
8,3.11E-06
6,2.76E-06
4,2.44E-06
2,2.13E-06
0,1.84E-06
-2,1.58E-06
-4,1.36E-06
-6,1.14E-06
-8,9.69E-07
-10,7.71E-07
-12,6.31E-07
-14,5.04E-07
-16,4.04E-07
-18,3.18E-07
-20,2.46E-07
-22,1.83E-07
-24,1.34E-07
-26,9.61E-08
-28,7.23E-08
-30,4.27E-08
-32,2.98E-08
-34,2.04E-08
-36,1.44E-08
-38,1.05E-08
-40,9.89E-09
-42,1.44E-08
-44,8.21E-09
-46,7.56E-09
-48,1.12E-08
-50,5.80E-09
-52,5.69E-09
-54,5.47E-09
-56,5.34E-09
-58,5.01E-09
-60,4.93E-09
