-60,2.42E-08
-58,2.48E-08
-56,2.78E-08
-54,3.18E-08
-52,3.67E-08
-50,4.17E-08
-48,6.02E-08
-46,7.83E-08
-44,9.73E-08
-42,1.06E-07
-40,1.05E-07
-38,1.45E-07
-36,1.35E-07
-34,1.58E-07
-32,1.91E-07
-30,2.38E-07
-28,2.91E-07
-26,3.49E-07
-24,4.16E-07
-22,4.84E-07
-20,5.57E-07
-18,6.37E-07
-16,7.29E-07
-14,8.12E-07
-12,9.08E-07
-10,1.02E-06
-8,1.14E-06
-6,1.39E-06
-4,1.63E-06
-2,1.86E-06
0,2.13E-06
2,2.40E-06
4,2.71E-06
6,3.01E-06
8,3.35E-06
10,3.69E-06
12,4.04E-06
14,4.40E-06
16,4.72E-06
18,5.08E-06
20,5.45E-06
22,5.76E-06
24,6.15E-06
26,6.69E-06
28,6.88E-06
30,7.04E-06
32,7.48E-06
34,7.78E-06
36,8.15E-06
38,8.48E-06
40,8.83E-06
42,9.00E-06
44,9.26E-06
46,1.01E-05
48,1.04E-05
50,1.07E-05
52,1.11E-05
54,1.13E-05
56,1.16E-05
58,1.18E-05
60,1.20E-05
60,1.16E-05
58,1.07E-05
56,1.01E-05
54,9.06E-06
52,8.57E-06
50,8.06E-06
48,7.76E-06
46,7.35E-06
44,7.07E-06
42,6.77E-06
40,6.40E-06
38,6.13E-06
36,5.81E-06
34,5.55E-06
32,5.25E-06
30,4.89E-06
28,4.68E-06
26,4.48E-06
24,4.07E-06
22,3.78E-06
20,3.60E-06
18,3.24E-06
16,2.97E-06
14,2.73E-06
12,2.48E-06
10,2.29E-06
8,2.10E-06
6,1.89E-06
4,1.70E-06
2,1.50E-06
0,1.32E-06
-2,1.17E-06
-4,1.03E-06
-6,9.11E-07
-8,7.62E-07
-10,6.69E-07
-12,5.76E-07
-14,5.17E-07
-16,4.37E-07
-18,3.88E-07
-20,3.31E-07
-22,2.96E-07
-24,2.51E-07
-26,2.01E-07
-28,1.84E-07
-30,1.47E-07
-32,1.23E-07
-34,1.03E-07
-36,9.82E-08
-38,1.07E-07
-40,1.05E-07
-42,9.78E-08
-44,8.33E-08
-46,6.70E-08
-48,6.39E-08
-50,5.22E-08
-52,4.83E-08
-54,3.83E-08
-56,2.87E-08
-58,3.12E-08
-60,2.90E-08
