-60,4.45E-08
-58,2.96E-08
-56,1.05E-08
-54,1.05E-08
-52,1.05E-08
-50,1.19E-08
-48,1.41E-08
-46,1.67E-08
-44,2.07E-08
-42,2.71E-08
-40,3.61E-08
-38,4.97E-08
-36,6.39E-08
-34,1.08E-07
-32,1.35E-07
-30,1.83E-07
-28,2.51E-07
-26,3.39E-07
-24,4.44E-07
-22,5.66E-07
-20,7.08E-07
-18,8.62E-07
-16,1.03E-06
-14,1.28E-06
-12,1.58E-06
-10,1.91E-06
-8,2.27E-06
-6,2.73E-06
-4,3.22E-06
-2,3.80E-06
0,4.43E-06
2,5.13E-06
4,5.89E-06
6,6.74E-06
8,7.55E-06
10,8.36E-06
12,9.23E-06
14,1.01E-05
16,1.09E-05
18,1.17E-05
20,1.25E-05
22,1.32E-05
24,1.40E-05
26,1.47E-05
28,1.58E-05
30,1.60E-05
32,1.71E-05
34,1.73E-05
36,1.83E-05
38,1.84E-05
40,1.86E-05
42,1.91E-05
44,1.98E-05
46,2.01E-05
48,2.04E-05
50,2.08E-05
52,2.10E-05
54,2.13E-05
56,2.17E-05
58,2.17E-05
60,2.18E-05
60,2.06E-05
58,1.89E-05
56,1.77E-05
54,1.68E-05
52,1.58E-05
50,1.50E-05
48,1.43E-05
46,1.38E-05
44,1.32E-05
42,1.26E-05
40,1.19E-05
38,1.13E-05
36,1.07E-05
34,1.03E-05
32,9.28E-06
30,8.64E-06
28,8.11E-06
26,7.59E-06
24,7.11E-06
22,6.59E-06
20,6.14E-06
18,5.69E-06
16,5.27E-06
14,4.83E-06
12,4.43E-06
10,4.01E-06
8,3.63E-06
6,3.23E-06
4,2.93E-06
2,2.60E-06
0,2.28E-06
-2,1.99E-06
-4,1.72E-06
-6,1.46E-06
-8,1.25E-06
-10,1.05E-06
-12,9.08E-07
-14,6.96E-07
-16,5.57E-07
-18,4.51E-07
-20,3.65E-07
-22,2.92E-07
-24,2.28E-07
-26,1.73E-07
-28,1.30E-07
-30,1.04E-07
-32,9.36E-08
-34,8.11E-08
-36,6.62E-08
-38,4.87E-08
-40,3.78E-08
-42,3.10E-08
-44,2.71E-08
-46,2.33E-08
-48,2.26E-08
-50,2.01E-08
-52,1.85E-08
-54,1.77E-08
-56,1.83E-08
-58,1.69E-08
-60,1.79E-08
