-60,7.18E-09
-58,6.67E-09
-56,6.43E-09
-54,6.60E-09
-52,6.57E-09
-50,7.04E-09
-48,7.56E-09
-46,8.17E-09
-44,9.54E-09
-42,1.57E-08
-40,1.22E-08
-38,1.49E-08
-36,2.00E-08
-34,2.95E-08
-32,4.48E-08
-30,6.95E-08
-28,1.04E-07
-26,1.58E-07
-24,2.20E-07
-22,3.05E-07
-20,4.23E-07
-18,5.83E-07
-16,7.91E-07
-14,1.05E-06
-12,1.40E-06
-10,1.85E-06
-8,2.43E-06
-6,3.13E-06
-4,3.99E-06
-2,4.98E-06
0,6.15E-06
2,7.47E-06
4,8.91E-06
6,1.05E-05
8,1.22E-05
10,1.39E-05
12,1.57E-05
14,1.74E-05
16,1.91E-05
18,2.08E-05
20,2.23E-05
22,2.37E-05
24,2.53E-05
26,2.66E-05
28,2.79E-05
30,2.90E-05
32,3.01E-05
34,3.13E-05
36,3.20E-05
38,3.30E-05
40,3.38E-05
42,3.44E-05
44,3.51E-05
46,3.60E-05
48,3.64E-05
50,3.69E-05
52,3.71E-05
54,3.76E-05
56,3.79E-05
58,3.82E-05
60,3.80E-05
60,3.60E-05
58,3.21E-05
56,2.90E-05
54,2.67E-05
52,2.46E-05
50,2.26E-05
48,2.08E-05
46,1.92E-05
44,1.76E-05
42,1.62E-05
40,1.48E-05
38,1.35E-05
36,1.24E-05
34,1.13E-05
32,1.02E-05
30,9.00E-06
28,8.08E-06
26,7.22E-06
24,6.47E-06
22,5.75E-06
20,5.08E-06
18,4.48E-06
16,3.93E-06
14,3.42E-06
12,2.96E-06
10,2.54E-06
8,2.17E-06
6,1.84E-06
4,1.54E-06
2,1.28E-06
0,1.06E-06
-2,8.79E-07
-4,7.20E-07
-6,5.82E-07
-8,4.70E-07
-10,3.71E-07
-12,2.95E-07
-14,2.34E-07
-16,1.81E-07
-18,1.38E-07
-20,1.04E-07
-22,7.73E-08
-24,4.92E-08
-26,3.44E-08
-28,2.50E-08
-30,1.94E-08
-32,1.59E-08
-34,1.43E-08
-36,1.47E-08
-38,1.37E-08
-40,1.31E-08
-42,1.23E-08
-44,1.28E-08
-46,1.33E-08
-48,1.30E-08
-50,1.12E-08
-52,1.37E-08
-54,1.24E-08
-56,1.34E-08
-58,1.40E-08
-60,1.32E-08
